word,target 1,target 2,target,triviality_1,triviality_2,triviality
cupuliferous,family of plants ot which the oak and the chestnut are examples,,family of plants ot which the oak and the chestnut are examples,33,100,33
cruciferous,family of plants which have four petals arranged like the arms of a cross,,family of plants which have four petals arranged like the arms of a cross,36,100,36
sylvicoline,family of warblers,,family of warblers,28,100,28
guelfic,family or the facttion of the Guelphs,,family or the facttion of the Guelphs,43,100,43
lenten,fast called Lent,,fast called Lent,50,100,50
sebacic,fat,,fat,33,100,33
weird,fate,witchcraft,fate,25,40,25
high-church,favoring,,favoring,21,100,21
epulary,feast or banquet,,feast or banquet,43,100,43
convival,feast or to festivity,,feast or to festivity,25,100,25
pedestrial,feet,,feet,50,100,50
holiday,festival,,festival,29,100,29
bacchanalian,festival of Bacchus,,festival of Bacchus,33,100,33
pyrexical,fever,,fever,20,100,20
pyrexial,fever,,fever,20,100,20
pyretic,fever,,fever,20,100,20
peroneal,fibula,,fibula,17,100,17
trigeminal,fifth pair of cranial nerves,,fifth pair of cranial nerves,40,100,40
cameralistic,finance and public revenue,,finance and public revenue,32,100,32
fringilline,finches,,finches,44,100,44
dactylar,finger or toe,,finger or toe,12,100,12
abietic,fir tree or its products,,fir tree or its products,29,100,29
pyrotechnic,fireworks,,fireworks,22,100,22
pyrotechnical,fireworks,,fireworks,22,100,22
merovingian,first Frankish dynasty in Gaul or France,,first Frankish dynasty in Gaul or France,27,100,27
protoplasmic,first formation of living bodies,protoplasm,first formation of living bodies,42,100,42
piscine,fish or fishes,,fish or fishes,43,100,43
ichthyic,fishes,,fishes,33,100,33
finny,fishes,,fishes,40,100,40
piscatory,fishes or fishing,,fishes or fishing,44,100,44
piscatorial,fishes or fishing,,fishes or fishing,45,100,45
pabular,fit for,,fit for,14,100,14
stative,fixed camp,,fixed camp,24,100,24
carnic,flesh,hydroscopic monobasic acid,flesh,0,50,0
carnose,flesh,,flesh,20,100,20
carnous,flesh,,flesh,20,100,20
diluvial,flood or deluge,,flood or deluge,38,100,38
amish,followers of Jacob Amman,,followers of Jacob Amman,20,100,20
pedal,foot,foot of a mollusk,foot,0,40,0
gravitational,force of gravity,,force of gravity,46,100,46
metopic,forehead or frontal bones,,forehead or frontal bones,19,100,19
frontal,forehead or the anterior part of the roof of the brain case,,forehead or the anterior part of the roof of the brain case,43,100,43
antemeridian,forenoon,,forenoon,25,100,25
savage,forest,,forest,17,100,17
seminiferous,formation of semen,,formation of semen,42,100,42
paleocrystic,former glacial formation,,former glacial formation,50,100,50
past,former time or state,,former time or state,50,100,50
quartan,fourth,,fourth,50,100,50
vulpine,fox,,fox,0,100,0
visceroskeletal,framework,,framework,33,100,33
sugar,fresh milk,,fresh milk,20,100,20
ranine,frogs and toads,region where the swelling occurs,frogs and toads,33,50,33
plenilunary,full moon,,full moon,30,100,30
exequial,funerals,,funerals,40,100,40
oestrian,gadflies,,gadflies,25,100,25
patibulary,gallows,,gallows,29,100,29
presidiary,garrison,,garrison,25,100,25
presidial,garrison,,garrison,25,100,25
glyptic,gem engraving,,gem engraving,29,100,29
gemmaceous,gems or to gemmæ,,gems or to gemmæ,40,100,40
multiphase,generator producing,,generator producing,20,100,20
alliaceous,genus Allium,,genus Allium,40,100,40
bovine,genus Bos,oxen or cows,genus Bos,17,22,17
neat,genus Bos,,genus Bos,25,100,25
caraboid,genus Carabus,,genus Carabus,53,100,53
didine,genus Didus,,genus Didus,33,100,33
feline,genus Felis,,genus Felis,55,100,55
maioid,genus Maia,,genus Maia,33,100,33
miliolitic,genus Miliola,,genus Miliola,50,100,50
mugiloid,genus Mugil,,genus Mugil,50,100,50
mulloid,genus Mullus,,genus Mullus,43,100,43
muricoid,genus Murex,,genus Murex,25,100,25
murenoid,genus Muræna,,genus Muræna,38,100,38
muraenoid,genus Muræna,,genus Muræna,33,100,33
mytiloid,genus Mytilus,,genus Mytilus,53,100,53
pavonine,genus Pavo,,genus Pavo,38,100,38
taurine,genus Taurus,,genus Taurus,46,100,46
sanctionary,giving,,giving,33,100,33
vitreous,glass,,glass,20,100,20
caprine,goat,,goat,18,100,18
hircinous,goat or the goats,,goat or the goats,33,100,33
hircine,goat or the goats,,goat or the goats,29,100,29
jovial,god,,god,33,100,33
chthonian,gods or spirits of the underworld,,gods or spirits of the underworld,33,100,33
auric,gold,,gold,0,100,0
eupeptic,good digestion,,good digestion,38,100,38
epicurean,good eating,,good eating,33,100,33
color,good health and spirits,,good health and spirits,40,100,40
confederate,government of the eleven Southern States of the United States which,,government of the eleven Southern States of the United States which,45,100,45
cereal,grasses which are cultivated for their edible seeds,,grasses which are cultivated for their edible seeds,50,100,50
nephrolithic,gravel,,gravel,33,100,33
glauconite,greensand of the chalk and other formations,,greensand of the chalk and other formations,40,100,40
thooid,group of carnivores,,group of carnivores,24,100,24
gingival,gums,,gums,25,100,25
schetical,habit of the body,,habit of the body,22,100,22
schetic,habit of the body,,habit of the body,29,100,29
crinal,hair,,hair,25,100,25
semicentennial,half of a century,,half of a century,29,100,29
popliteal,ham,,ham,33,100,33
manual,hand,,hand,50,100,50
crusty,hard covering,,hard covering,33,100,33
leporine,hare,hare,hare,50,50,50
isodynamic,having,,having,33,100,33
minimal,having a character of,,having a character of,43,100,43
neuralgic,having the character of,,having the character of,44,100,44
atheromatous,having the nature of,,having the nature of,50,100,50
tautochronous,having the properties of,,having the properties of,32,100,32
medical,having to do with,,having to do with,29,100,29
capital,head,,head,25,100,25
cephalic,head,,head,50,100,50
therapeutic,healing art,,healing art,38,100,38
therapeutical,healing art,,healing art,45,100,45
hygeian,health,,health,50,100,50
sanitary,health,,health,33,100,33
sanitarian,health,,health,25,100,25
sanatory,health,,health,33,100,33
auditory,hearing,,hearing,27,100,27
auditive,hearing,,hearing,27,100,27
thermal,heat,,heat,55,100,55
thermotic,heat,,heat,50,100,50
thermotical,heat,,heat,50,100,50
thermic,heat,,heat,50,100,50
spherical,sphere,heavenly orbs,heavenly orbs,83,36,36
spheric,sphere,heavenly orbs,heavenly orbs,83,30,30
uranic,heavens,,heavens,33,100,33
erinaceous,hedgehog,,hedgehog,33,100,33
altitudinal,height,,height,24,100,24
ganancial,held under,,held under,11,100,11
oligistic,hematite,,hematite,25,100,25
oligist,hematite,,hematite,29,100,29
acroceraunian,"high mountain range of ""thunder- smitten"" peaks",,"high mountain range of ""thunder- smitten"" peaks",31,100,31
locomotion,higher animals and some of the lower forms of plant life,,higher animals and some of the lower forms of plant life,40,100,40
empyreal,highest and purest region of heaven,,highest and purest region of heaven,38,100,38
banter,him,,him,0,100,0
sciatic,hip,,hip,33,100,33
suffraginous,hock of a beast,,hock of a beast,25,100,25
porcine,swine,hog,hog,60,33,33
suilline,hog or the Hog family,,hog or the Hog family,25,100,25
independent,holding to the doctrines or methods of,,holding to the doctrines or methods of,36,100,36
ferial,holidays,,holidays,33,100,33
ungular,hoof,,hoof,0,100,0
caballine,horse,,horse,20,100,20
equine,horse,,horse,20,100,20
equestrian,horses or horsemen,,horses or horsemen,30,100,30
nosocomial,hospital,,hospital,56,100,56
hydrothermal,hot water,,hot water,56,100,56
calcific,hte portion of the which forms the eggshell in birds and reptiles,,hte portion of the which forms the eggshell in birds and reptiles,38,100,38
psychic,human soul,mind,human soul,14,25,14
venatorial,hunting,,hunting,43,100,43
venatic,hunting,,hunting,46,100,46
venary,hunting,,hunting,17,100,17
venatical,hunting,,hunting,43,100,43
marital,husband,,husband,14,100,14
colonical,husbandmen,,husbandmen,11,100,11
tabernacular,tabernacle,huts or booths,huts or booths,90,17,17
selenhydric,hydrogen selenide,,hydrogen selenide,55,100,55
sulpharsenious,hypothetical sulphacid,,hypothetical sulphacid,50,100,50
sulphantimonious,hypothetical sulphacid of antimony,,hypothetical sulphacid of antimony,56,100,56
sulphophosphoric,hypothetical sulphacid of phosphorus,,hypothetical sulphacid of phosphorus,56,100,56
sulphotungstic,hypothetical sulphacid of tungsten,,hypothetical sulphacid of tungsten,50,100,50
yuman,important linguistic stock of North American Indians of the southwestern United States and northwestern Mexico,,important linguistic stock of North American Indians of the southwestern United States and northwestern Mexico,40,100,40
oxychloric,in general,,in general,10,100,10
helical,in the form of,,in the form of,29,100,29
nodular,in the form of,,in the form of,29,100,29
fabian,in the manner of,,in the manner of,33,100,33
turndown,incandescent lamp with a small additional filament which can be made incandescent when only a small amount of light is required,,incandescent lamp with a small additional filament which can be made incandescent when only a small amount of light is required,38,100,38
tropical,tropics,incident to,incident to,86,25,25
bilinear,included by,,included by,32,100,32
trilinear,included by,,included by,33,100,33
ingluvial,indulges or crop of birds,,indulges or crop of birds,44,100,44
scottish,inhabitants of Scotland,,inhabitants of Scotland,38,100,38
citizen,inhabitants of a city,citizens,inhabitants of a city,43,100,43
atramentous,ink,,ink,33,100,33
atramental,ink,,ink,33,100,33
lunatic,insane person,,insane person,20,100,20
ametabolian,insects that do undergo any metamorphosis,,insects that do undergo any metamorphosis,45,100,45
laryngoscopic,inspection of the larynx,,inspection of the larynx,38,100,38
documental,instruction,written evidence,instruction,20,30,20
noetic,intellect,,intellect,40,100,40
noetical,intellect,,intellect,38,100,38
plutonic,Pluto,interior of the earth,interior of the earth,80,14,14
hermeneutic,interpretation,,interpretation,45,100,45
hermeneutical,interpretation,,interpretation,40,100,40
oneirocritical,interpretation of dreams,,interpretation of dreams,43,100,43
oneirocritic,interpretation of dreams,,interpretation of dreams,50,100,50
eleventh,interval of the octave and the fourth,,interval of the octave and the fourth,38,100,38
inframedian,interval or zone along the sea bottom,,interval or zone along the sea bottom,36,100,36
iridic,iris of the eye,iridium,iris of the eye,50,83,50
iridal,iris or rainbow,,iris or rainbow,50,100,50
iridian,iris or rainbow,,iris or rainbow,45,100,45
ferreous,iron,,iron,50,100,50
ischiocapsular,ischium and the capsule of the hip joint,,ischium and the capsule of the hip joint,50,100,50
sardinian,island,,island,55,100,55
lesbian,island anciently called Lesbos,,island anciently called Lesbos,46,100,46
samian,island of Samos,,island of Samos,50,100,50
lemnian,isle of Lemnos,,isle of Lemnos,46,100,46
balearic,isles of Majorca,,isles of Majorca,42,100,42
drama,it,,it,0,100,0
sarcoptid,itch mites,,itch mites,22,100,22
eburnine,ivory,,ivory,20,100,20
hederal,ivy,,ivy,0,100,0
hederaceous,ivy,,ivy,0,100,0
gnathic,jaw,,jaw,33,100,33
articular,joints,,joints,17,100,17
viatic,journey or traveling,,journey or traveling,33,100,33
atrabiliary,atra bilis or black bile,kidney,kidney,73,33,33
renal,kidneys,,kidneys,20,100,20
nephritical,kidneys or urinary organs,,kidneys or urinary organs,36,100,36
nephritic,kidneys or urinary organs,,kidneys or urinary organs,33,100,33
curule,charoit,kind of chair appropriated to Roman magistrates and dignitaries,kind of chair appropriated to Roman magistrates and dignitaries,33,33,33
wardian,kind of glass inclosure for keeping ferns,,kind of glass inclosure for keeping ferns,43,100,43
sardonic,kind of linen made at Colchis,,kind of linen made at Colchis,25,100,25
epic,kind of narrative poem,,kind of narrative poem,50,100,50
regal,king,,king,25,100,25
regius,king,,king,25,100,25
osculatory,kissing,,kissing,12,100,12
understair,kitchen,,kitchen,14,100,14
pharmaceutical,knowledge or art of pharmacy,,knowledge or art of pharmacy,50,100,50
lacustrine,lakes or ponds,,lakes or ponds,42,100,42
lacustral,lakes or ponds,,lakes or ponds,44,100,44
lucernal,lamp,,lamp,33,100,33
terrier,land or landed estates,,land or landed estates,29,100,29
cadastral,landed property,,landed property,33,100,33
linguistical,language,,language,50,100,50
linguistic,language,,language,50,100,50
manks,language or people of the of Man,,language or people of the of Man,40,100,40
gremial,lap or bosom,,lap or bosom,29,100,29
myrtaceous,large and important natural order of trees and shrubs,,large and important natural order of trees and shrubs,40,100,40
cyperaceous,large family of plants of which the sedge is the type,,large family of plants of which the sedge is the type,27,100,27
antepenultimate,last syllable but two,,last syllable but two,33,100,33
levirate,law of the ancient Israelites and other tribes and races,,law of the ancient Israelites and other tribes and races,50,100,50
leviratical,law of the ancient Israelites and other tribes and races,,law of the ancient Israelites and other tribes and races,36,100,36
laical,layman or the laity,,layman or the laity,50,100,50
saturnine,lead,,lead,25,100,25
plumbous,lead,,lead,25,100,25
foliolate,leaflets,,leaflets,38,100,38
literary,letters or literature,learning or learned men,learning or learned men,75,50,50
lettered,learning or literature,,learning or literature,50,100,50
foliar,leaves,,leaves,33,100,33
hirudine,leeches,,leeches,27,100,27
sinistral,left,,left,25,100,25
larboard,left-hand side of a vessel,,left-hand side of a vessel,25,100,25
litigious,legal disputes,,legal disputes,44,100,44
pedicular,lice,,lice,50,100,50
physiology,life,,life,25,100,25
biochemistry,life,,life,25,100,25
bucolic,life and occupation of a shepherd,,life and occupation of a shepherd,29,100,29
xanthomelanous,lighter division of the Melanochroi,,lighter division of the Melanochroi,50,100,50
isohyetose,lines connecting places on the earth's surface which have a mean annual rainfall,,lines connecting places on the earth's surface which have a mean annual rainfall,40,100,40
quichuan,linguistic stock of South American Indians,,linguistic stock of South American Indians,50,100,50
bacillary,little rods,,little rods,33,100,33
hepatic,liver,,liver,20,100,20
hepatocystic,liver and gall bladder,,liver and gall bladder,17,100,17
hepatorenal,liver and kidneys,,liver and kidneys,27,100,27
palustrine,living in,,living in,33,100,33
fresh-water,living in,,living in,0,100,0
metabranchial,lobe of the carapace of crabs covering the posterior branchiæ,,lobe of the carapace of crabs covering the posterior branchiæ,54,100,54
lumbosacral,loins and sacrum,,loins and sacrum,44,100,44
seigneurial,lord of a manor,,lord of a manor,18,100,18
philosophistical,love or practice of sophistry,,love or practice of sophistry,56,100,56
amatorial,lover or to love making,,lover or to love making,33,100,33
cauda galli,lower Devonian rocks,,lower Devonian rocks,18,100,18
maclurea,lower Silurian rocks,,lower Silurian rocks,50,100,50
neocomian,lower greensand,,lower greensand,33,100,33
inframaxillary,lower iaw,,lower iaw,26,100,26
primordial,lowest beds of the Silurian age,,lowest beds of the Silurian age,40,100,40
wealden,lowest division of the Cretaceous formation in England and on the Continent,,lowest division of the Cretaceous formation in England and on the Continent,43,100,43
corniferous,lowest period of the Devonian age,,lowest period of the Devonian age,36,100,36
cambrian,Cambria or Wales,lowest subdivision of the rocks of the Silurian or Molluscan age,lowest subdivision of the rocks of the Silurian or Molluscan age,75,50,50
pneumonic,lungs,pneumonia,lungs,40,89,40
pulmonary,lungs,,lungs,40,100,40
pulmocutaneous,lungs and the akin,,lungs and the akin,36,100,36
pneumogastric,lungs and the stomach,,lungs and the stomach,38,100,38
tentiginous,lust,,lust,50,100,50
lyrical,lyre or harp,,lyre or harp,43,100,43
babylonish,made in,,made in,29,100,29
arterial,artery,main channel,main channel,83,40,40
continental,continent,main land of Europe,main land of Europe,100,27,27
ocean,main or great sea,,main or great sea,40,100,40
legific,making laws,,making laws,14,100,14
legislative,making of laws,,making of laws,27,100,27
economical,management of a household,,management of a household,40,100,40
economic,management of a household,,management of a household,38,100,38
endogenous,many forms of cells,,many forms of cells,30,100,30
regeneration,many of the lower animals,,many of the lower animals,42,100,42
matrimonial,marriage,,marriage,53,100,53
nuptial,marriage,,marriage,29,100,29
hymenean,marriage,,marriage,25,100,25
connubial,marriage,,marriage,27,100,27
hymeneal,marriage,,marriage,25,100,25
paludine,marsh,,marsh,20,100,20
paludinous,genus Paludina,marsh or fen,marsh or fen,67,20,20
paludal,marshes or fens,,marshes or fens,14,100,14
molar,mass of matter,molar teeth,mass of matter,42,100,42
corporeal,material body or substance,,material body or substance,33,100,33
hylic,matter,,matter,0,100,0
impertinent,matter in hand,,matter in hand,48,100,48
spiraeic,meadowsweet,,meadowsweet,25,100,25
medial,mean or average,,mean or average,50,100,50
galvanometric,measured by,,measured by,27,100,27
metrical,meter,measurement,measurement,80,38,38
gravimetric,measurement by weight,,measurement by weight,36,100,36
gasometrical,measurement of gases,,measurement of gases,42,100,42
gasometric,measurement of gases,,measurement of gases,50,100,50
hydrometrical,hydrometer,measurement of the velocity,measurement of the velocity,90,31,31
hydrometric,hydrometer,measurement of the velocity,measurement of the velocity,90,36,36
iatrical,medicine,,medicine,27,100,27
iatric,medicine,,medicine,33,100,33
hydrargyrate,mercury,,mercury,43,100,43
wireless,method of telegraphy,,method of telegraphy,38,100,38
noonday,midday,,midday,50,100,50
miocene,middle division of the Tertiary,,middle division of the Tertiary,43,100,43
mesocephalic,middle of the head,,middle of the head,40,100,40
mesogastric,middle region of the abdomen,mesogaster,middle region of the abdomen,36,90,36
obstetrical,midwifery,,midwifery,22,100,22
obstetric,midwifery,,midwifery,22,100,22
lactic,milk,,milk,25,100,25
galactic,milk,galaxy or Milky Way,milk,25,50,25
psychical,human soul,mind,mind,32,25,25
idiomatical,mode of expression peculiar to a language,,mode of expression peculiar to a language,45,100,45
idiomatic,mode of expression peculiar to a language,,mode of expression peculiar to a language,33,100,33
plastic,molding or modeling,,molding or modeling,29,100,29
austro-hungarian,monarchy composed of Austria and Hungary,,monarchy composed of Austria and Hungary,44,100,44
monachal,monks or a monastic life,,monks or a monastic life,50,100,50
menstrual,monthly changes,menses,monthly changes,44,67,44
lunar,moon,,moon,25,100,25
spiritual,intellectual and higher endowments of the mind,moral feelings or states of the soul,moral feelings or states of the soul,44,44,44
matutinal,morning,,morning,43,100,43
matin,morning,,morning,50,100,50
welter,most heavily weighted race in a meeting,,most heavily weighted race in a meeting,50,100,50
rotary,motion of a wheel on its axis,,motion of a wheel on its axis,33,100,33
hydrokinetic,motions of fluids,,motions of fluids,28,100,28
oral,mouth,,mouth,25,100,25
stomatogastric,mouth and the stomach,,mouth and the stomach,43,100,43
buccal,mouth or cheeks,,mouth or cheeks,19,100,19
oculomotor,movement of the eye,,movement of the eye,40,100,40
psycho-motor,movement produced by action of the mind or will,,movement produced by action of the mind or will,33,100,33
lutarious,mud,,mud,33,100,33
moroxylic,mulberry,,mulberry,38,100,38
sinapoleic,mustard oil,,mustard oil,40,100,40
hircic,mutton suet,,mutton suet,0,100,0
lunisolar,mutual relations,,mutual relations,33,100,33
nominal,name or names,,name or names,43,100,43
domestic,one's house or home,nation considered as a family or home,nation considered as a family or home,38,38,38
xyridaceous,natural order,,natural order,27,100,27
verbenaceous,natural order,,natural order,25,100,25
umbelliferous,natural order,,natural order,31,100,31
sapotaceous,natural order,,natural order,36,100,36
urticaceous,natural order,,natural order,36,100,36
sterculiaceous,natural order,,natural order,31,100,31
polygonaceous,natural order of apetalous plants,,natural order of apetalous plants,46,100,46
geraniaceous,natural order of pants,,natural order of pants,42,100,42
oleaceous,natural order of plants,,natural order of plants,44,100,44
scitamineous,natural order of plants,,natural order of plants,29,100,29
tiliaceous,natural order of plants,,natural order of plants,30,100,30
portulacaceous,natural order of plants,,natural order of plants,36,100,36
polygalaceous,natural order of plants,,natural order of plants,31,100,31
gentianaceous,natural order of plants,,natural order of plants,33,100,33
violaceous,natural order of plants,,natural order of plants,40,100,40
polemoniaceous,natural order of plants,,natural order of plants,29,100,29
papaveraceous,natural order of plants,,natural order of plants,33,100,33
saxifragaceous,natural order of plants,,natural order of plants,36,100,36
santalaceous,natural order of plants,,natural order of plants,42,100,42
juncaceous,natural order of plants,,natural order of plants,30,100,30
rosaceous,natural order of plants,,natural order of plants,33,100,33
ranunculaceous,natural order of plants,,natural order of plants,36,100,36
rhamnaceous,natural order of shrubs and trees,,natural order of shrubs and trees,36,100,36
malpighiaceous,natural order of tropical trees and shrubs,,natural order of tropical trees and shrubs,36,100,36
liliaceous,natural order of which the lily,,natural order of which the lily,30,100,30
physical,nature,physics,nature,17,86,17
civil,naval or military affairs,,naval or military affairs,40,100,40
lumbal,near,,near,25,100,25
lumbar,near,,near,50,100,50
cervical,neck,,neck,33,100,33
neurotic,nerves,,nerves,50,100,50
novilunar,new moon,,new moon,38,100,38
lucubratory,night studies,,night studies,9,100,9
optimate,nobility or aristocracy,,nobility or aristocracy,38,100,38
apposition,non vascular tissues,,non vascular tissues,40,100,40
midday,noon,,noon,0,100,0
pennaceous,normal feather,,normal feather,30,100,30
boreal,north,,north,40,100,40
septentrional,north,,north,40,100,40
septentrion,north,,north,40,100,40
armoric,northwestern part of France,,northwestern part of France,43,100,43
armorican,northwestern part of France,,northwestern part of France,44,100,44
nasal,nose,,nose,50,100,50
naso-,nose,,nose,50,100,50
nasofrontal,nose and the front of the head,,nose and the front of the head,45,100,45
rhinal,nose or olfactory organs,,nose or olfactory organs,33,100,33
zootrophic,nourishment of animals,,nourishment of animals,30,100,30
zooetrophic,nourishment of animals,,nourishment of animals,36,100,36
octonary,number eight,,number eight,20,100,20
novenary,number nine,,number nine,38,100,38
maritime,ocean,navigation and naval affairs,ocean,20,50,20
pelagic,ocean,,ocean,40,100,40
neptunian,ocean or sea,,ocean or sea,33,100,33
senile,old age,old age,old age,33,33,33
cufic,older characters of the Arabic language,,older characters of the Arabic language,40,100,40
paleozoic,older division of geological time during which life is known to have existed,,older division of geological time during which life is known to have existed,33,100,33
congenital,one from birth,,one from birth,42,100,42
iroquoian,one of the principal linguistic stocks of the North American Indians,,one of the principal linguistic stocks of the North American Indians,44,100,44
individual,one only,single person or thing,one only,22,30,22
urohyal,one or more median and posterior elements in the hyoidean arch of fishes,,one or more median and posterior elements in the hyoidean arch of fishes,29,100,29
way-going,one who goes away,,one who goes away,33,100,33
reprobate,one who is given up to wickedness,,one who is given up to wickedness,22,100,22
native,one's birth,,one's birth,33,100,33
natal,one's birth,,one's birth,25,100,25
natalitial,one's birth or birthday,,one's birth or birthday,30,100,30
natalitious,one's birth or birthday,,one's birth or birthday,27,100,27
home,one's dwelling or country,,one's dwelling or country,25,100,25
subjective,subject,one's own consciousness,one's own consciousness,100,40,40
confession,one's self,,one's self,53,100,53
strange,others,one's self,one's self,33,29,29
brag,one's self,,one's self,0,100,0
subdial,open air,,open air,14,100,14
stomatoplastic,operation of forming a mouth where the aperture has been contracted,,operation of forming a mouth where the aperture has been contracted,36,100,36
rabbinic,rabbins or rabbis,opinions,opinions,75,38,38
rabbinical,rabbins or rabbis,opinions,opinions,60,38,38
scioptic,optical arrangement for forming images in a darkened room,,optical arrangement for forming images in a darkened room,25,100,25
insensuous,or addressing,,or addressing,30,100,30
gentlemanlike,or becoming,,or becoming,27,100,27
gentlemanly,or becoming,,or becoming,29,100,29
manganic,or containing,,or containing,50,100,50
plumbic,or containing,,or containing,14,100,14
sulphatic,or containing,,or containing,22,100,22
lymphatic,or conveying lymph,,or conveying lymph,56,100,56
fulminic,or denoting,,or denoting,25,100,25
muscatel,or derived from,,or derived from,12,100,12
pectosic,or derived from,,or derived from,25,100,25
mannitic,or derived from,,or derived from,12,100,12
nonylenic,or designating,,or designating,35,100,35
sulphocyanic,or designating,,or designating,25,100,25
magneto-,or in some way connected with,,or in some way connected with,38,100,38
metaleptic,metalepsis,or occurring by,or occurring by,80,10,10
ancestral,or possessed by,,or possessed by,22,100,22
childish,or resembling,,or resembling,25,100,25
euxanthic,or resembling,,or resembling,22,100,22
phenic,or resembling,,or resembling,33,100,33
orbitonasal,orbit and the nose,,orbit and the nose,55,100,55
tuscan,Tuscany in Italy,order,order,83,0,0
piperaceous,order of plants,,order of plants,31,100,31
araceous,order of plants,,order of plants,38,100,38
amaryllidaceous,order of plants differing from the lily family chiefly in having the ovary below the,,order of plants differing from the lily family chiefly in having the ovary below the,33,100,33
amaryllideous,order of plants differing from the lily family chiefly in having the ovary below the,,order of plants differing from the lily family chiefly in having the ovary below the,38,100,38
sapindaceous,order of trees and shrubs,,order of trees and shrubs,50,100,50
tartronic,organic acid,,organic acid,44,100,44
systemless,organic nature,,organic nature,20,100,20
tactile,organs,,organs,17,100,17
motorial,organs of motion,,organs of motion,50,100,50
aristocratical,aristocracy,originating with,originating with,82,36,36
aristocratic,aristocracy,originating with,originating with,87,42,42
topiarian,ornamental cutting and trimming of trees,,ornamental cutting and trimming of trees,44,100,44
topiary,ornamental gardening,,ornamental gardening,43,100,43
strigine,owls,,owls,17,100,17
proprietorial,ownership,,ownership,44,100,44
volar,palm of the hand or the sole of the foot,,palm of the hand or the sole of the foot,40,100,40
psittaceous,parrots,,parrots,44,100,44
psittacid,parrots,,parrots,29,100,29
subapical,part just below the apex,,part just below the apex,33,100,33
infrastapedial,part of the columella of the ear,,part of the columella of the ear,29,100,29
lee,part or side opposite to that against which the wind blows,,part or side opposite to that against which the wind blows,33,100,33
angelic,partaking of the nature of,,partaking of the nature of,29,100,29
angelical,partaking of the nature of,,partaking of the nature of,33,100,33
local,particular place,,particular place,40,100,40
lore,particular subject,,particular subject,50,100,50
intercostal,parts between the ribs,,parts between the ribs,45,100,45
hypodermic,parts under the skin,,parts under the skin,33,100,33
political,public policy,party,party,59,40,40
cavalier,party of King Charles I,,party of King Charles I,38,100,38
erotic,passion of love,,passion of love,17,100,17
erotical,passion of love,,passion of love,25,100,25
paschal,passover,,passover,43,100,43
noachian,patriarch Noah,,patriarch Noah,38,100,38
asmonean,patriotic Jewish family to which the Maccabees belonged,,patriotic Jewish family to which the Maccabees belonged,38,100,38
pavonian,peacock,,peacock,43,100,43
turbinaceous,peat,,peat,25,100,25
style,peculiar mode of developing in idea or accomplishing a result,,peculiar mode of developing in idea or accomplishing a result,40,100,40
lateen,peculiar rig used in the Mediterranean and adjacent waters,,peculiar rig used in the Mediterranean and adjacent waters,50,100,50
demotic,people,,people,33,100,33
public,people,,people,33,100,33
indo-european,people or nations who speak these languages,,people or nations who speak these languages,38,100,38
turanian,extensive family of languages of simple structure and low grade,people who speak these languages,people who speak these languages,38,38,38
cretaceous,period of time following the Jurassic and preceding the Eocene,,period of time following the Jurassic and preceding the Eocene,40,100,40
cretacic,period of time following the Jurassic and preceding the Eocene,,period of time following the Jurassic and preceding the Eocene,50,100,50
speciality,person or thing,every one who cultivates his speciality,person or thing,24,100,24
devilish,pertaining to,devil,pertaining to,38,100,38
indusial,petrified cases of the larvæ of certain insects,,petrified cases of the larvæ of certain insects,38,100,38
peripatetic,philosophy taught by Aristotle,,philosophy taught by Aristotle,36,100,36
jatrophic,physic nuts,,physic nuts,40,100,40
docimacy,physiology,,physiology,25,100,25
negative,picture upon glass or other material,,picture upon glass or other material,38,100,38
pious,piety,,piety,40,100,40
peristeromorphous,pigeons or Columbæ,,pigeons or Columbæ,47,100,47
sylvic,pine or its products,,pine or its products,17,100,17
auletic,pipe,,pipe,25,100,25
tibial,tibia,pipe or flute,pipe or flute,100,21,21
topical,place,,place,40,100,40
loimic,plague or contagious disorders,,plague or contagious disorders,33,100,33
saturnian,Saturn,planet Saturn,planet Saturn,83,56,56
uranian,planet Uranus,,planet Uranus,43,100,43
vegetable,plants,,plants,17,100,17
rutaceous,plants of a natural order,,plants of a natural order,33,100,33
valerianaceous,plants of a natural order,,plants of a natural order,29,100,29
asclepiadaceous,plants of the Milkweed family,,plants of the Milkweed family,27,100,27
musaceous,plants of the genus Musa,,plants of the genus Musa,44,100,44
half-tone,half tones,plates,plates,89,40,40
placitory,pleas or pleading,,pleas or pleading,56,100,56
sponsional,pledge or agreement,,pledge or agreement,21,100,21
canine,family Canidæ,pointed tooth on each side the incisors,pointed tooth on each side the incisors,50,33,33
toxic,poison,,poison,40,100,40
toxical,poison,,poison,33,100,33
provost,police and discipline as the regulations of the service or the commander's orders impose upon him,,police and discipline as the regulations of the service or the commander's orders impose upon him,29,100,29
sand-lot,policy or practices of the socialistic or communistic followers of the Irish agitator Denis Kearney,,policy or practices of the socialistic or communistic followers of the Irish agitator Denis Kearney,38,100,38
malthusian,political economist,,political economist,34,100,34
pontile,pons Varolii,,pons Varolii,43,100,43
pontifician,pontiff or pope,,pontiff or pope,55,100,55
pontific,pope,,pope,50,100,50
apostolic,pope or the papacy,,pope or the papacy,33,100,33
apostolical,pope or the papacy,,pope or the papacy,28,100,28
papistic,Church of Rome and its doctrines and ceremonies,popery,popery,38,33,33
papaverous,poppy,,poppy,40,100,40
